SMILES	MW	TPSA	AROM	HBA	HBD	ROTB	LOGP	RING
Cl.C1NCc2ccccc2C1c1ccccc1	245.75300000000001	12.03	2	1	1	1	3.3435000000000015	3
C(CCc1ccccc1)CN1CCC(CC1)c1ccccc1	293.4539999999999	3.24	2	1		6	4.888900000000005	3
C(CCc1ccccc1)CN1CCC(CC1)c1ccccc1	293.4539999999999	3.24	2	1		6	4.888900000000005	3
CCCc1ccc(cc1)C(O)=O	164.20399999999995	37.3	1	1	1	3	2.3373	1
N#Cc1ccncn1	105.1	49.57	1	3			0.34827999999999987	1
CC(C)(C)c1ccc(O)cc1	150.22099999999998	20.23	1	1	1		2.689700000000001	1
C1CCC2(CC1)CCNCC2	153.26899999999998	12.03		1	1		2.3203000000000005	2
Clc1ccc(cc1)C(c1ccc(Cl)cc1)C(Cl)(Cl)Cl	354.491		2			2	6.495500000000002	2
Brc1c(Br)c(Br)c2[nH]nnc2c1Br	434.71100000000007	41.57	2	2	1		4.0079	2
Brc1c(Br)c(Br)c2[nH]nnc2c1Br	434.71100000000007	41.57	2	2	1		4.0079	2
NS(=O)(=O)c1ccc2NC(C3CC=CC3c2c1)c1ccc(Br)cc1	405.31700000000006	72.19	2	3	2	2	3.9230000000000027	4
OC(=O)c1ccc(cc1)N1C(=O)C(\C=C1c1ccccc1)=C\c1ccc(o1)-c1ccc(cc1)[N+]([O-])=O	478.46000000000015	113.89000000000001	4	5	1	6	6.024300000000005	5
OC(=O)c1ccc(cc1)N1C(=O)C(\C=C1c1ccccc1)=C\c1ccc(o1)-c1ccc(cc1)[N+]([O-])=O	478.46000000000015	113.89000000000001	4	5	1	6	6.024300000000005	5
OC(=O)c1ccc(cc1)N1C(=O)C(\C=C1c1ccccc1)=C\c1ccc(o1)-c1ccc(cc1)[N+]([O-])=O	478.46000000000015	113.89000000000001	4	5	1	6	6.024300000000005	5
OC(=O)C(\Cc1ccccc1[N+]([O-])=O)=N\Nc1nc(cs1)-c1ccc(Cl)c(Cl)c1	451.29100000000017	117.72	3	7	2	7	5.120300000000002	3
OC(=O)C(\Cc1ccccc1[N+]([O-])=O)=N\Nc1nc(cs1)-c1ccc(Cl)c(Cl)c1	451.29100000000017	117.72	3	7	2	7	5.120300000000002	3
Cn1cc(cn1)-c1ccc(cc1)S(=O)(=O)n1ccc(\C=C\C(=O)Nc2ccccc2N)c1	447.52000000000015	112.01	4	7	2	6	3.359700000000001	4
Cn1cc(cn1)-c1ccc(cc1)S(=O)(=O)n1ccc(\C=C\C(=O)Nc2ccccc2N)c1	447.52000000000015	112.01	4	7	2	6	3.359700000000001	4
Cn1cc(cn1)-c1ccc(cc1)S(=O)(=O)n1ccc(\C=C\C(=O)Nc2ccccc2N)c1	447.52000000000015	112.01	4	7	2	6	3.359700000000001	4
Cn1cc(cn1)-c1ccc(cc1)S(=O)(=O)n1ccc(\C=C\C(=O)Nc2ccccc2N)c1	447.52000000000015	112.01	4	7	2	6	3.359700000000001	4
CCn1c(O)nnc1-c1ccc(Cl)cc1	223.663	50.94	2	4	1	2	2.324	2
Nc1nc2n([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)c(=O)sc2c(=O)[nH]1	316.2950000000001	163.69	2	10	5	2	-2.6600000000000006	3
NCC(=O)CCC(O)=O	131.131	80.39000000000001		3	2	4	-0.6210000000000004	
NCC(=O)CCC(O)=O	131.131	80.39000000000001		3	2	4	-0.6210000000000004	
Brc1cccc(c1)C1=NCC(=O)Nc2c1oc1ccccc21	355.1910000000001	54.6	3	3	1	1	3.9848000000000017	4
Brc1cccc(c1)C1=NCC(=O)Nc2c1oc1ccccc21	355.1910000000001	54.6	3	3	1	1	3.9848000000000017	4
NCCc1c[nH]c2ccc(cc12)C(N)=O	203.24499999999995	84.9	2	2	3	3	0.7680000000000002	2
OCc1cncc(F)c1	127.11799999999998	33.120000000000005	1	2	1	1	0.713	1
Fc1c[nH]c(=O)[nH]c1=O	130.078	65.72	1	2	2		-0.7977000000000001	1
Fc1c[nH]c(=O)[nH]c1=O	130.078	65.72	1	2	2		-0.7977000000000001	1
